,0
Annual return,0.07622840223243177
Cumulative returns,0.4595085013384521
Annual volatility,0.23889541718893856
Sharpe ratio,0.4278031745066171
Calmar ratio,0.2213436792162082
Stability,0.7424902666285018
Max drawdown,-0.344389333828557
Omega ratio,1.0862709923688905
Sortino ratio,0.5944557052243603
Skew,
Kurtosis,
Tail ratio,0.7973744111353336
Daily value at risk,-0.029692437067345107
