time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/reward,train/n_updates,time/total_timesteps,time/episodes,time/time_elapsed
64,-35.72704985268484,0.0001,116.39309203780917,-1.1023821,6039,8052,4,125
56,16.547981275946004,0.0001,11.840745797840682,-1.1023821,14091,16104,8,283
