,0
Annual return,0.11279039204059194
Cumulative returns,0.7333309722104064
Annual volatility,0.25656396449035596
Sharpe ratio,0.5457525048578503
Calmar ratio,0.31072432533270106
Stability,0.8047096918457539
Max drawdown,-0.36299183181047756
Omega ratio,1.1110319323533255
Sortino ratio,0.7696021074441823
Skew,
Kurtosis,
Tail ratio,0.9168253572684498
Daily value at risk,-0.031768384598375346
