train/reward,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/clip_fraction,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss,train/entropy_loss
0.2600932,2048,256,1,7,,,,,,,,,,,
0.053782646,4096,250,2,16,0.2171875,0.00025,0.9997801780700684,10,0.019015353,0.02618163824081421,0.2,6.286002159118652,15.14425550699234,-0.02353221033263253,-41.14460926055908
-1.1522084,6144,247,3,24,0.201611328125,0.00025,1.0013269186019897,20,0.015373897,0.01871281862258911,0.2,5.121503829956055,13.435978561639786,-0.018383351841475815,-41.16143996715546
0.629021,8192,249,4,32,0.25908203125,0.00025,1.0031635761260986,30,0.024358332,0.0011810064315795898,0.2,3.5670976638793945,7.833092841506004,-0.024321796355070546,-41.21748023033142
-0.41154847,10240,249,5,41,0.26474609375,0.00025,1.0041694641113281,40,0.020466682,0.0288546085357666,0.2,5.710712432861328,12.471184939146042,-0.022209125163499266,-41.25771777629852
0.6444508,12288,249,6,49,0.225146484375,0.00025,1.005750298500061,50,0.019582737,0.031103014945983887,0.2,3.640204906463623,11.85314163863659,-0.018006452653207817,-41.29087157249451
0.39639866,14336,248,7,57,0.324462890625,0.00025,1.009405493736267,60,0.027482636,0.027494430541992188,0.2,6.313816547393799,13.223003578186034,-0.013713386575545883,-41.37415616512298
0.7899648,16384,245,8,66,0.286572265625,0.00025,1.0114476680755615,70,0.024712954,0.03134775161743164,0.2,11.798346519470215,19.46396083831787,-0.013701619373750872,-41.452986288070676
0.19480474,18432,245,9,75,0.208740234375,0.00025,1.0130336284637451,80,0.022401165,0.07497560977935791,0.2,10.6965913772583,19.753884088993072,-0.015545291479793378,-41.49582872390747
-0.15233587,20480,245,10,83,0.32353515625,0.00025,1.0146901607513428,90,0.02854697,0.05672645568847656,0.2,10.989396095275879,25.778018379211424,-0.008744806196773425,-41.54895994663239
-0.13257182,22528,244,11,92,0.140185546875,0.00025,1.0148839950561523,100,0.012529873,0.04248684644699097,0.2,10.659501075744629,20.580672204494476,-0.012056861785822548,-41.56998236179352
-1.3234735,24576,244,12,100,0.28564453125,0.00025,1.016560435295105,110,0.022856366,0.07900243997573853,0.2,8.542713165283203,15.853102773427963,-0.01890010915521998,-41.60374555587769
2.107733,26624,245,13,108,0.2390625,0.00025,1.018337368965149,120,0.022876522,0.07146811485290527,0.2,7.9207892417907715,13.528939548134804,-0.01826670922746416,-41.64595971107483
-1.5906253,28672,245,14,116,0.1875,0.00025,1.0194286108016968,130,0.01821723,0.0477939248085022,0.2,7.01564359664917,16.808652937412262,-0.014185285058920272,-41.68613862991333
-0.097474374,30720,245,15,125,0.267822265625,0.00025,1.0212678909301758,140,0.021064786,0.07490652799606323,0.2,7.833995819091797,17.454324960708618,-0.01603507486579474,-41.72655229568481
0.47504318,32768,245,16,133,0.1951171875,0.00025,1.023271083831787,150,0.016647575,0.09115046262741089,0.2,7.372060775756836,14.906460773944854,-0.017466762637195644,-41.78097198009491
-0.8468693,34816,243,17,142,0.285205078125,0.00025,1.0246621370315552,160,0.025827829,0.05176573991775513,0.2,10.999444007873535,20.306266909837724,-0.013840566977160051,-41.83641633987427
0.9661805,36864,242,18,151,0.363720703125,0.00025,1.0278868675231934,170,0.036601827,-0.00566256046295166,0.2,5.261150360107422,14.394057810306549,-0.009558157804713118,-41.896323108673094
-0.01650853,38912,242,19,160,0.153076171875,0.00025,1.029313564300537,180,0.013134061,0.08405202627182007,0.2,8.748016357421875,16.821563470363618,-0.012052653504360933,-41.9586719751358
0.02694915,40960,242,20,169,0.1958984375,0.00025,1.0299876928329468,190,0.020718345,0.07986688613891602,0.2,7.122426986694336,18.387715315818788,-0.010947856280836277,-41.98816785812378
-0.43891603,43008,242,21,177,0.16337890625,0.00025,1.0303528308868408,200,0.015485658,0.08882451057434082,0.2,5.445979595184326,16.939034831523895,-0.01086846589751076,-41.99918859004974
0.66019875,45056,242,22,185,0.2947265625,0.00025,1.0325582027435303,210,0.024802815,0.07837933301925659,0.2,12.674312591552734,32.651876187324525,-0.007078228589671198,-42.039506506919864
-1.2846078,47104,241,23,195,0.26865234375,0.00025,1.0350970029830933,220,0.02432372,0.08984524011611938,0.2,6.872152328491211,18.455387544631957,-0.012936798203736544,-42.098106956481935
1.3723989,49152,241,24,203,0.276708984375,0.00025,1.0364502668380737,230,0.023324134,0.20448178052902222,0.2,7.691262245178223,13.120037484169007,-0.015168527895002625,-42.16640179157257
1.6721267,51200,241,25,212,0.2068359375,0.00025,1.0375856161117554,240,0.017833814,0.07046836614608765,0.2,6.782102108001709,15.899310332536697,-0.010027557209832593,-42.18825562000275
