,0
Annual return,0.09883822755275662
Cumulative returns,0.6243473866901492
Annual volatility,0.21127609202659772
Sharpe ratio,0.5523642410864463
Calmar ratio,0.3144440063101068
Stability,0.8504297405427352
Max drawdown,-0.31432695668964883
Omega ratio,1.1108395041312913
Sortino ratio,0.7776489367305164
Skew,
Kurtosis,
Tail ratio,0.8214966860578119
Daily value at risk,-0.026155184966189307
