time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/reward,train/n_updates,time/total_timesteps,time/episodes,time/time_elapsed
77,46.4735632852816,0.001,496.8600162481468,-17.132107,6039,8052,4,103
65,34.6988187300756,0.001,212.38990535442355,-16.297873,14091,16104,8,247
65,43.91348151136819,0.001,141.7696796271319,-18.703384,22143,24156,12,370
65,61.40991210179111,0.001,126.61070280269314,-23.64539,30195,32208,16,491
65,62.79418579768945,0.001,143.1205074767005,-26.060158,38247,40260,20,619
64,65.42189969694164,0.001,116.20719751622389,-19.013412,46299,48312,24,753
